2026-01-22 16:21:45,021 : worker.worker : INFO : Current device cuda
2026-01-22 16:21:46,377 : worker.worker : INFO : ==================== Start training ====================
2026-01-22 16:21:46,650 : network.model : INFO : Saved model to logs/BipedalWalker/PPO/gru/model.pt
2026-01-22 16:21:47,915 : evaluate.evaluate : INFO : Evaluation results: mean = -104.73, std = 0.00, min = -104.73, max = -104.73, count = 1
2026-01-22 16:21:47,916 : evaluate.evaluate : INFO : Evaluation lengths: mean = 87.00, std = 0.00, min = 87.00, max = 87.00, count = 1
2026-01-22 16:21:47,917 : evaluate.evaluate : INFO : Covariance matrix:
[0.18973666 0.18973666 0.18973666 0.18973666]
2026-01-22 16:21:48,892 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -115.37946319580078, mean length: 46.0
2026-01-22 16:21:48,988 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -121.03636932373047, mean length: 71.0
2026-01-22 16:21:49,004 : worker.worker : DEBUG : Episodes ended. n: 2, terminated: 2, truncated: 0, mean reward: -114.83940124511719, mean length: 75.0
2026-01-22 16:21:49,052 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -115.92762756347656, mean length: 87.0
2026-01-22 16:21:49,064 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -106.17536926269531, mean length: 89.0
2026-01-22 16:21:49,086 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -119.7609634399414, mean length: 93.0
2026-01-22 16:21:49,096 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -120.28829193115234, mean length: 94.0
2026-01-22 16:21:49,167 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -101.04322814941406, mean length: 110.0
2026-01-22 16:21:49,189 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -122.65444946289062, mean length: 114.0
2026-01-22 16:21:49,203 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -102.72845458984375, mean length: 116.0
2026-01-22 16:21:49,279 : worker.worker : DEBUG : Episodes ended. n: 1, terminated: 1, truncated: 0, mean reward: -115.18710327148438, mean length: 58.0
